Country,Structure,COFOG,Service,Initiative / Project / Application,Description,url,Organization,AI type,AI Use Type,Innovation type,Main Value Driver
Finland,National,General public services,General public services n.e.c.,Migri.fi Chatbot Kamu,Kamu is a chatbot used by the Finnish Immgration Service that gives general advice to citizens about immigration processes or about the process of the application. ,https://migri.fi/en/chat1,Finnish Immigration Service,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Inclusion
Finland,Local,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",OuloBot,"The City of Oulu has started a project co-financed by Business Finland, which aims to build a chatbot service, OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues, whether they concern tourism, companies or city services. The answer or guidance to an electronic service should be provided regardless of time, place, medium and language. Technically, chatbot retrieves information e.g. relevant City of Oulu websites, chat history, guidance information, databases, and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer, then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service).",https://www.ouka.fi/oulu/oulubot/,Municipality of Oulu,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Organizational / Sustained Change,
France,National,Public order and safety,Police Services,Fraud detection value declarations,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,French Customs,Security Analytics and Threat Intelligence,Enforcement,Organizational / Sustained Change,Performance
France,National,Social protection,Unemployment.,LaBonneBoîte,"La Bonne Boite is an online tool that identifies companies with a high probability of hiring within the next six months in the sector and area selected by the seeker. The objective of La Bonne Boite is to help jobseekers find job opportunities that are not published by employers (i.e. ""hidden vacancies"") and to predict which companies are most likely to hire in the near  future. La Bonne Boite is one of the most used job searching services in France and it is about to be further developed in order to target more specific types of jobseekers, like students, that are looking for part-time jobs. This search engine improves a jobseeker's chance of securing a job interview on the basis of spontaneous job applications. La Bonne Boite's computer code can be copied and used by others. There is also an Application Programming Interface (API) which enables the duplication of La Bonne Boite on other websites. ",https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en,Pôle emploi,"Predictive Analytics, Simulation and Data Visualisation",Public Services and engagement,Incremental / Technical Change,Performance
Germany,National,Public order and safety,Public order and safety n.e.c.,Refugee Language Detection,"Germany's Federal Office for Migrants and Refugees uses a voice recognition software that seeks to identify which country migrants without documentation are from. The Federal Office for Migrants and Refugees said the automated new system would begin within two weeks. The aim is to detect Arabic-speaking migrants claiming to be Syrian to increase their chances of asylum. The new software will run alongside techniques already in use to establish a person's identity. A variety of data will be examined, including the asylum-seeker's documentation, before a final decision is made. If necessary, officials will also seek expert opinion. Linguists argue it would, however, be challenging for an automatic machine to be completely accurate, as language and vocabulary are ever-changing, reducing the effectiveness and accuracy. ",https://www.dw.com/en/automatic-speech-analysis-software-used-to-verify-refugees-dialects/a-37980819,Federal Office for Migration and Refugees (BAMF),Audio Processing,Adjudication,Transformative / Disruptive,Performance
Germany,Local,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Buddy Krefeld,"Buddy Krefield is a Chatbot to which citizens can ask various questions related to the administrative processes in municipal administrations, for example on which form to fill in for what service. It is expected to save time as it does no longer require a civil servant to answer the questions and it offers citizens immediate responses to their queries. The chatbot is the result of a hackathon organized by the open data portal of the German region North Rhine-Westphalia. ",https://open.nrw/de/content/kumpel-krefeld-gewinnt-nrw-hackathon,,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Performance
Ireland,National,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Revenue Chatbot,"In early 2018, the Irish Revenue Commissioners began investigating the potential of Artificial Intelligence to provide a more efficient, effective experience for customers using their telephony services. A pilot project was initiated to examine if AI based Natural Language Processing (NLP) technologies could be used to deliver an improved customer service, reduce costs and increase efficiencies. This resulted in the implementation of a Virtual Digital Agent (VDA) or voicebot which was designed to focus on a subset of calls from the Irish taxpayer relating to tax clearance. On a daily basis, taxpayers contact Irish Revenue tax clearance customer support asking how to apply for tax clearance; enquiring what their current tax clearance status is; requesting more information on expired, refused & rescinded tax clearance applications as well as just looking for information on tax clearance itself. It is reported that currently, up to 50% of calls were handled from start to finish by the voicebot,  70% of first-time applicants engaged with the voicebot when submitting their application, 75% of tax clearance holders were able to retrieve their tax clearance access number (TCAN). Only in 10% of the calls, the calls were transferred to a human operator due to the inability of the voicebot to understand the request. ",https://www.ops2020.gov.ie/actions/innovating-for-our-future/innovation/emerging-technology/artificial-intelligence/revenue-chatbot/,Irish Revenue Commissioners,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Organizational / Sustained Change,Inclusion
Ireland,Local,General public services,R&D general public services.,The Dublin Beat,"The Dublin Beat analyses citizen opinions in the Dublin Region for an overview of their most pressing concerns. Each month public tweets are collated by the AItext analytics platform Citibeats, whose artificial intelligence algorithms have been trained for understanding opinions in the local context of Dublin. This can assist local authorities to better understand how local people feel about civic issues.  The resulting analysis based on the gathered online data is presented via visual dashboards and through monthly reports provided online. The different reports give an overview of key issues such as how people feel about environmental issues, cultural events or city region developments expressed on the online media. The Dublin Beat can help local authorities to better understand how citizens feel about key issues and ensure that civic efforts and policy reflect the needs of communities. But of course, it is important to note that these insights are indicative only of the sentiments expressed by a cohort of citizens who use social media. Local authorities employ other methods to ensure truly inclusive citizen engagement.",https://smartdublin.ie/smart-dublin-explores-how-ai-social-media-can-help-improve-the-city-region/,Municipality of Dublin,"Natural Language Processing, Text Mining and Speech Analytics","Regulatory research, analysis and monitoring",Transformative / Disruptive,Inclusion
Italy,Local,Recreation - culture and religion,Cultural services.,Borbot,"Borbot  (acronym for Bourbons and Robotics) is a virtual assistant, adopted by the National Museum of the Royal Palace of Caserta, which through machine learning techniques is able to answer user questions, providing detailed tourist information and news about the monument. The mobile system supports the Museum's front office service and allows customer service staff to concentrate on the services with greater added value.",https://borbot.it/,Reggia di Caserta,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Performance
Italy,Local,Economic affairs,Transport,Smart Planner,"A planning navigation app (""Viaggia + <name of the city>"") which is based on AI techniques and is able to suggest users who connect through an app from their smartphone the fastest and most ecological solutions to reach a specific destination in the city. Through the analysis of data intercepted from multiple sources, the app gives personalized indications on which public, private or shared means of transport should be used to reduce polluting emissions and travel times. The Smart Planner solution is reported to have been in use in the cities of Trento and Rovereto as well as the Emilia Romagna region.",https://www.smartcommunitylab.it/app/,"Smart Community Lab an initiative of the FBK research centre  , Smart Community Lab: an initiative of the FBK research centre  (Trento, Italy)","Machine Learning, Deep Learning",Public Services and engagement,Incremental / Technical Change,Openness
Latvia,National,Economic affairs,"General economic, commercial and labour affair",Future assistant for entrepreneurs (FAE),"In 2018, the Register of Enterprises of Latvia introduced the Chatbot UNA to answer frequently asked questions regarding the process of enterprise registration. The name UNA has a symbolic meaning as it stands for the Future Support of Entrepreneurs in the Latvian language. Chatbots are available 24/7 and thus able to make communication between citizens and the state accessible and friendly. UNA is available on both the website of the Register of Enterprises as well as on the Facebook page as part of the Facebook messenger application. UNA is able to answer frequently asked questions about the registration of their businesses as well as the liquidation, merchants, companies and organizations. If citizens already have an application in progress, they are also able to ask about the progress of their documents. At the moment, UNA only works in the Latvian language.  A Latvian company, Tilde, specializing in AI technologies cooperated in the development of UNA. The usage of the conversational agent has been argued to be highly successful and has been nominated for numerous awards such as the OECD's Public Excellence, World Summit Awards and others. According to the first performance indicators, 44% of the questions asked on UNA are considered to be general of nature and easily taken care of by the Chatbot. ",https://oecd-opsi.org/innovations/una-the-first-virtual-assistant-of-public-administration-in-latvia/,Register of Enterprises of the Republic of Latvia,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Transformative / Disruptive,Openness
Latvia,National,Economic affairs,Transport,FITS (Future Intelligent Transport Systems) ITEMS,"The State Public Traffic Safety Directorate uses the FITS (""Future Intelligent Transport Systems"") ITEMS, which significantly improves road safety and saves people's lives. This AI system is capable of recognizing car numbers for driving speed, ensurance and roadworthiness test control on roads. At the end of 2018, the number of road accidents decreased by 43% compared to the number prior to the installation of photo cameras (1 084, after 613) at the roadside stages where photo cameras were installed and operated. ",https://investinlatvia.org/en/key-sectors/sectors/smart-city,State Public Traffic Safety Directorate,Computer Vision and Identity Recognition,Enforcement,Transformative / Disruptive,Performance
Lithuania,National,Health,Public health services.,viLTe' chatbot,"viLTe' was created during a recent hackathon ""Hack the Crisis"" and is capable of answering relevant questions regarding the COVID-19 pandemic, such as the symptons, restrictions and more.",https://koronastop.lrv.lt/,Government of the Republic of Lithuania,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Inclusion
Lithuania,National,Public order and safety,Public order and safety n.e.c.,FCIS H2020,"Lithuanian Customs 's Financial Crime Investigations Service are using machine learning to identify suspicious patterns (trade, financial flows). This is part of a H2020 project, which, among other things, will explore using AI for better processing and analysis of data. The project will aim to apply artificial intelligence, data analysis and data visualization methods over two years, allowing law enforcement professionals to link, prioritize and analyze information gathered from different sources to facilitate decision-making. Several organizational units will be directly involved in the development of a targeted data processing and analysis system.",http://www.fntt.lt/lt/ivykiai/fntt-kartu-su-partneriais-pradeda-igyvendinti-europos-sajungos-moksliniu-tyrimu-ir-inovaciju-lesomis-remiama-projekta/3768,Lithuanian customs,"Machine Learning, Deep Learning",Enforcement,Organizational / Sustained Change,Performance
Netherlands,Local,Public order and safety,Police Services,Crime Anticipation System (CAS),"The Crime Anticipation System (CAS) makes weekly analyzes based on local and current data. External data about neighborhoods and residents, for example, is supplemented by the police's own knowledge about crimes and local situations and information from Statistics Netherlands. The system searches for crimes that show a pattern - for example, bicycle thefts in a certain neighborhood happen most often between the hours of 9:00 p.m. and midnight. Based on that, the police can better deploy available resources to fight these crimes more effectively, according to the news wire.",http://ceur-ws.org/Vol-2103/paper_6.pdf,City of Amsterdam, Security Analytics and Threat Intelligence,Enforcement,Organizational / Sustained Change,Performance
Netherlands,National,Social protection,Social protection n.e.c.,SyRi,"Various municipalities in the Netherlands have been using the SyRi system to detect welfare fraud more effectively. SyRi has been developed by the Dutch government and uses various risk indicators from existing governmental systems such as taxes, health insurance, residence, education and many more, in order to detect which addresses hold a higher risk of fraud or misuse of welfare benefits.  SyRi was developed in 2014 after multiple municipalities had been creating their own systems to detect fraud. To enable the sharing of different information items that are relevant for SyRi, the system operates on a legal basis which clearly indicates which kind of data can be captured, stored and shared.The system does not make any decisions itself, but provides recommendations for civil servants to conduct further investigations.   Various organisations have opposed the usage of the system. They argue that it causes too many privacy infringements and is discriminatory towards the poor and vulnerable citizens. The lack of transparency on the inner working of the system and the inability of the people affected to get to know their data have been used, has been criticized as well. The UN-rapporteur for Human Rights also expressed his concerns on the use of SyRi as it could be a significant threat to human rights. Some projects revealed significant difficulties in integrating various data sources, which caused the recommendations by the system to become outdated and in fact unusable. In municipalities where the system actually gave recommendations on possible fraudulent behaviour, the success rate was very low. As, the costs of SyRi have been estimated to be over 325.000 euro per year, so that many have been wondering whether the system was worth the privacy and financial costs at all.   Following a court case, the Dutch court decided in early 2020 that the use of SyRi did not comply with Article 8 of the ECHR (European Convention of Human Rights), thus its usage has been cancelled. The judge ruled that the collective, economic welfare interest of preventing fraud weighed insufficiently against the social interest of privacy. Furthermore, the absence of disclosure about the inner working of SyRi makes its usage insufficiently transparent and verifiable.  ",https://algorithmwatch.org/en/story/syri-netherlands-algorithm/,Ministry of Social Affairs and Employment, Security Analytics and Threat Intelligence,Enforcement,Transformative / Disruptive,Performance
Norway,National,Defence,Military defence.,VDI: Protection of digital infrastructure,The existing early warning system for digital infrastructure has been used to detect targeted cyber attacks for almost 20 years. The Norwegian National Security Authority is now developing new sensor technology that will build on and eventually replace the sensors used in the existing early warning system. A new platform will be developed to use artificial intelligence and machine learning on the data collected. The platform will enable automatic analysis of any malware detected as well as automatic sharing of results. It is expected that the AI will enable better cyber security for Norway's critical infrastructure.,https://www.regjeringen.no/en/dokumenter/nasjonal-strategi-for-kunstig-intelligens/id2685594/?ch=7,Norwegian National Security Authority,Security Analytics and Threat Intelligence,Internal management,Incremental / Technical Change,Performance
Norway,Local,Economic affairs,"General economic, commercial and labour affair",Insolvency Predicition,The TrondHeim Municipality has been working on an AI system capable of predicting which companies had a higher chance of become insolvent. This enable the organisation to detect companies at risk at take pre-emptive actions. The predictions were accurate to around 80% a year (an accuracy of 90% would have been much more preferred).,https://norden.diva-portal.org/smash/get/diva2:1375500/FULLTEXT01.pdf,Trondheim Municipality,"Predictive Analytics, Simulation and Data Visualisation",Enforcement,Organizational / Sustained Change,Performance
Poland,National,Economic affairs,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Clearance Chamber ICT System,"This AI compiles a risk indicator based on collected financial data from financial institutions to determine whether account holders are more likely to conduct illegal activities. If the suspicious activity is detected, at the request of the tax authorities the bank will be able to freeze suspicious accounts. The system is run by the State Clearance Chamber, a key entity of the Polish payment system infrastructure, that renders complex clearing services and other bank services.",https://epf.org.pl/en/wp-content/uploads/sites/3/2019/05/alGOVrithms-State-of-Play-Report.pdf,"Krajowa Izba Rozliczeniowa S.A (State  Clearance Chamber), Krajowa Izba Rozliczeniowa S.A (State Clearance Chamber)","Expert and Rule Based Systems, Algorithmic Decision Making",Enforcement,Transformative / Disruptive,Performance
Poland,National,Health,Public health services.,Home Quarantine app,"The Polish government has developed the free Home Quarantine app for both iPhone and Android, which allows the police to check that individuals do not break quarantine; those who do may be fined up to (at the moment this case was documented, in 2020) PLN 5,000 and also offers support to those who are quarantined. Once users activate the app by entering a phone number and a code sent via SMS, they send a reference photo. Every so often the app sends an unscheduled request for a new photo to be sent within 20 minutes. The system checks both the person (using facial recognition) and the location, essentially replicating what would otherwise be a visit from a police officer. Non-quarantined people cannot sign up, as the app is connected to a database of telephone numbers belonging to those ordered into quarantine. The app also gives access to relevant health information and a hotline. The government intends to add more functionality to the app over time.",https://www.gov.pl/web/cyfryzacja/aplikacja-kwarantanna-domowa--ruszyl-proces-jej-udostepniania,,Computer Vision and Identity Recognition,Enforcement,Organizational / Sustained Change,Performance
Portugal,National,General public services,"General economic, commercial and labour affair",Sigma,"For Portuguese residents, it is possible to change their official address via the chatbot Sigma. The provision of services in the informative phase is through the services and entities catalog (CES - Entities and Services Catalogue). ",https://joinup.ec.europa.eu/sites/default/files/news/2019-09/ISA2_Architecture%20for%20public%20service%20chatbots.pdf,"Agency for  Administrative  Modernisation, Agency for Administrative Modernisation","Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Performance
Portugal,National,Health,Health n.e.c.,Verification of medical prescriptions,"In Portugal, the Control and Monitoring Center from the Portuguese Public National Health Service (CCM-SNS), uses data from several databases, in order to detect and fight prescription fraud. It follows a paperless prescription program and the electronic medical prescriptions system which were both implemented in 2016 and made mandatory for the public sector. During the first seven years, the central unit detected irregularities amounting to hundreds of millions of euros, and was instrumental in starting many prosecution for fraud in the health system. According to the Ministry of Health, in the first semester of 2017, the Invoice Control Center processed 356.2 million Euros' worth of prescriptions and flagged 21.1 millions euros to the State prosecutor.",https://algorithmwatch.org/en/story/portugal-automated-verification-prescriptions-medical-fraud/,Portuguese Public National Health Service (Centro de Controlo e Monitorização do Sistema Nacional de Saúde),"Machine Learning, Deep Learning",Enforcement,Transformative / Disruptive,Performance
Romania,Local,Public order and safety,Public order and safety n.e.c.,Face recognition Bucharest Airport,"A facial recognition system will be implemented in Bucharest Airport. The AI will be capable of both identifying wanted persons, terrorism subjects or others on the list of intelligence services as well as a solution which detects suspicious behaviour.",https://www.uti.eu.com/press-releases/uti-will-implement-face-recognition-and-intelligent-image-analysis-systems-with-otopeni-airport/,Bucharest Airport,Computer Vision and Identity Recognition,Enforcement,Organizational / Sustained Change,Performance
Romania,Local,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Antonia,"The City Hall of Cluj has an AI system called Antonia, which handles the automatic processing of 64 types of forms for requesting public services. The also has a chatbot component so she can answer questions about how to fill the forms. In the second development stage of the AI-based technology, Antonia will become a hologram, this being the surprise-element for the next stage. This depends on how fast we will work out the technical aspects, so there is ""no time estimation for the complete implementation"" according o the local officials in Cluj-Napoca. The project is estimated to be completed within 30 months' period. Antonia has been launched in April 2018 and functions around the clock.",https://www.romaniajournal.ro/society-people/antonia-the-first-virtual-public-servant-in-romania/,Municipality of Cluj-Napoca,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Transformative / Disruptive,Inclusion
Slovakia,National,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Chatbot Taxana,"The Slovakian Financial Administration is the first state institution to launch an automated Chatbot to communicate with its clients, available 24/7. This Chatbot was named Taxana, chosen by the employees of the financial administration combining the English word tax and the Slovak word toy. The system has been put in place as it is argued that the state financial management must continue to digitize and electronic processes to make the processes easier for taxpayers. The introduction of automated chat in communication with their clients will also assist the call center staff, who save time and can thus deal with more complex issues of taxpayers. ",https://www.youtube.com/watch?v=UQ_XRlIFtrQ & https://www.podnikajte.sk/dane/taxana-chatbot,Financial Administration,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Inclusion
Slovenia,National,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Semantic analyser,"Finding relations among text documents (in slovenian language) based on relations among terms used. In development. There is a working prototype. A search engine to find documents with similar content, support to data dictionaries. In development.",https://nio.gov.si/nio/asset/semanticni+analizator+besedil,Ministry of Public Administration,"Natural Language Processing, Text Mining and Speech Analytics","Regulatory research, analysis and monitoring",Incremental / Technical Change,Performance
Spain,National,General public services,General services.,060 Service,"This is a service using Natural Language Processing (NLP) to answer frequently asked questions from citizens and to translate formal public administration terms into more informal terms for citizens. The 060 line is introduced in 2006 as being a central contact point for Spanish citizens with questions about state services, with a certain objective, being the center point of attention for the Spanish citizens, in order to provide information regarding the Central Administration Services and to connect the different public services through one short number: 060.",https://joinup.ec.europa.eu/sites/default/files/inline-files/08-2%20Salvador_Estevan_Martinez%20and%20Doaa_Samy_0.pdf,General Secretariat for Digital Administration,"Natural Language Processing, Text Mining and Speech Analytics",Public Services and engagement,Transformative / Disruptive,Inclusion
Spain,Local,Recreation - culture and religion,Recreational and sporting services.,AI for measuring beach attendance,"The Fuengirola Town Hall representatives aim to use artificial intelligence (AI) in order to control the capacity of beaches and other public spaces. The AI tool is developed by a local company. It allows for real-time information regarding the levels of attendance at beaches to be analysed in order to avoid crowds and minimise the risk of possible Covid-19 infections. This software works by using artificial intelligence sensors that are installed in streetlights. Then, virtual grids are created in which there is a maximum capacity for occupants.  The 3D volume of people entering and leaving these spaces is measured, as well as the amount of people entering the measurement grids. The results of the calculations are carried out in real time in order to warn citizens about means of occupancy (percentages and colours are used as visual warnings).",https://www.euroweeklynews.com/2020/05/04/costa-del-sols-fuengirola-will-use-artificial-intelligence-to-control-capacity-at-beaches-and-public-spaces/,Municipality of Fuengirola,Computer Vision and Identity Recognition,Enforcement,Incremental / Technical Change,Performance
Spain,National,Public order and safety,Police Services,VeriPol,"The filing of fake police reports is quite common in Spain, especially for low level crimes. This practice is regarded as quite troublesome, as it can bring significant consequences for individuals, wasting valuable police resources and is often used in combination with other fraudulent behaviour. Recently, the Spanish national police have adopted the VeriPol, an AI system in order to detect false police reports. The system was designed to be integrated into the existing Spanish National Police information system called SIDENPOL, allowing for easier use and integration into existing work practices. Its development was the result of a collaborative project between the University of Cardiff, the Charles III University of Madrid and the Spanish National Police. The database of police reports was made available for the researchers of the universities in order to train the AI system on. For this, 1122 reports were used, including 534 true and 588 false reports. VeriPol exploits a combination of Natural Language Processing and machine learning classification algorithms, capable of estimating the probability of false police reports with significant accuracy. In addition to that, the system also enables insights into the differences between false and true police reports. For example, pilot studies found that false police reports are more likely to include shorter statements, focused on the objects which were stolen and lacking details. Following the development, the system was tested in pilot situations in both the police department of Malaga and Murcia. These pilots have been regarded as successful because an increase in the number of false reports was detected. Furthermore, an anonymous survey among the staff showed that the VeriPol system was useful, easy to use but should include more functionalities to detect other forms of crime. Now the system has been rolled out for use by all the departments of the Spanish National Police. The expected impact of the use of the system is to both detect false reports early, leaving more police resources available to focus on other tasks and reports, while at the same time deterring people from filing fake statements in the first place. An additional benefit of the system is to gain more insights into how people lie to police officers as well as to gain more knowledge in detecting true and false police reports. ",https://www.sciencedirect.com/science/article/abs/pii/S095070511830128X,Spanish Police,"Natural Language Processing, Text Mining and Speech Analytics",Enforcement,Transformative / Disruptive,Performance
